
State Drivers   FuelC  Income  Miles   MPC       Pop     Tax
  AL  3559897  2382507  23471  94440 12737.00  3451586 18.00
  AK   472211   235400  30064  13628  7639.16   457728  8.00
  AZ  3550367  2428430  25578  55245  9411.55  3907526 18.00
  AR  1961883  1358174  22257  98132 11268.40  2072622 21.70
  CA 21623793 14691753  32275 168771  8923.89 25599275 18.00
  CO  3287922  2048664  32949  85854  9722.73  3322455 22.00
  CT  2650374  1458279  40640  20910  9021.35  2651452 25.00
  DE   564099   382043  31255   5814 10891.30   610269 23.00
  DC   328094   148769  37383   1534  6555.94   468575 20.00
  FL 12743403  7471117  28145 117299  9531.23 12741821 13.60
  GA  5833802  4693703  27940 115534 13248.60  6250708  7.50
  HI   787820   404684  28221   4278  7108.75   949184 16.00
  ID   896666   609051  24180  46310 10879.40   969166 25.00
  IL  7809500  5015217  32259 138359  8239.09  9530327 19.00
  IN  4116924  3120985  27011  94038 12916.90  4682392 15.00
  IA  1978748  1475812  26723 113437 10258.40  2281002 20.00
  KS  1871301  1236951  27816 134725 10656.70  2058489 21.00
  KY  2756634  2085629  24294  78914 11301.70  3161283 16.40
  LA  2718209  2151437  23334  60829  9505.31  3394854 20.00
  ME   942556   590093  25623  22672 11320.00  1010273 22.00
  MD  3451966  2460545  33872  30622  9673.67  4085342 23.50
  MA  4610666  2720510  37992  35408  8310.86  5008007 21.00
  MI  6976982  4904689  29612 121790  9959.45  7628170 19.00
  MN  2961236  2545530  32101 132280 10728.30  3782817 20.00
  MS  1859487  1476477  20993  73701 12286.80  2160165 18.40
  MO  3862300  2958880  27445 124324 12012.80  4292175 17.00
  MT   683351   467567  22569  69503 10965.00   701423 27.00
  NE  1267284   812247  27829  92766 10567.40  1314974 24.50
  NV  1420714   945643  30529  38658  9796.15  1537896 24.75
  NH   941829   662475  33332  15508  9923.45   960593 19.50
  NJ  5715089  3911837  36983  36175  8099.59  6545471 10.50
  NM  1231701   885829  22203  59883 12571.40  1370134 18.50
  NY 11014805  5536612  34547 112961  6876.49 14797284 22.00
  NC  5884651  4060592  27194 101195 11186.00  6291182 24.10
  ND   455921   334544  25068  86591 11322.40   502176 21.00
  OH  7736115  5028276  28400 117267  9371.29  8789530 22.00
  OK  2172394  1751701  23517 112694 12612.90  2665966 17.00
  OR  2534464  1487269  28350  66784  9907.26  2673283 24.00
  PA  8226202  5024671  29539 119985  8092.07  9693987 26.00
  RI   660435   399113  29685   6053  7625.00   827474 29.00
  SC  2849885  2217141  24321  66167 11469.60  3115130 16.00
  SD   544997   402472  26115  83560 11298.90   577391 22.00
  TN  4188317  2837567  26239  87826 11610.60  4445987 20.00
  TX 13045727 10637488  27871 300767 10458.40 15618097 20.00
  UT  1495887   945531  23907  42208 11291.30  1598531 24.50
  VT   515348   331183  26901  14291 15688.40   479265 20.00
  VA  4920753  3765718  31162  70721 10259.50  5529436 17.50
  WA  4237845  2622633  31528  80985  8981.59  4552631 23.00
  WV  1316955   818516  21915  36997 10946.10  1455370 25.65
  WI  3667497  2418289  28232 112663 10337.40  4156609 27.30
  WY   370713   321847  27230  27292 17494.90   381882 14.00
